species,growth_form,ln_area,mortality
Acropora nasuta,corymbose,-3.073510305,0
Acropora nasuta,corymbose,-2.781799524,0
Acropora nasuta,corymbose,-2.981547955,0
Acropora nasuta,corymbose,-2.585414435,0
Acropora nasuta,corymbose,-2.180765717,0
Acropora nasuta,corymbose,-2.556679335,0
Acropora nasuta,corymbose,-4.501440285,0
Acropora nasuta,corymbose,-3.024902345,0
Acropora nasuta,corymbose,-4.532529852,0
Acropora nasuta,corymbose,-3.517801957,0
Acropora nasuta,corymbose,-2.061319941,1
Acropora nasuta,corymbose,-2.601196575,0
Acropora nasuta,corymbose,-3.923812425,0
Acropora nasuta,corymbose,-4.301634822,1
Acropora nasuta,corymbose,-3.120304149,0
Acropora nasuta,corymbose,-2.983297648,0
Acropora nasuta,corymbose,-3.447007861,0
Acropora nasuta,corymbose,-3.833687387,0
Acropora nasuta,corymbose,-3.655382643,0
Acropora nasuta,corymbose,-4.027836649,0
Acropora nasuta,corymbose,-2.069798442,1
Acropora nasuta,corymbose,-2.856802835,1
Acropora nasuta,corymbose,-6.6676952,1
Acropora nasuta,corymbose,-2.190194127,0
Acropora nasuta,corymbose,-4.831586307,0
Acropora nasuta,corymbose,-3.249172795,0
Acropora nasuta,corymbose,-2.808181841,0
Acropora nasuta,corymbose,-3.763618571,0
Acropora nasuta,corymbose,-2.859422678,0
Acropora nasuta,corymbose,-2.758698808,1
Acropora nasuta,corymbose,-3.072589532,1
Acropora nasuta,corymbose,-3.144939682,0
Acropora nasuta,corymbose,-2.546579252,0
Acropora nasuta,corymbose,-3.7081907,1
Acropora nasuta,corymbose,-3.14478843,0
Acropora nasuta,corymbose,-2.924441927,1
Acropora nasuta,corymbose,-2.26155906,0
Acropora nasuta,corymbose,-2.424202078,0
Acropora nasuta,corymbose,-4.074841738,0
Acropora nasuta,corymbose,-5.858595628,1
Acropora nasuta,corymbose,-4.099384832,0
Acropora nasuta,corymbose,-5.646559653,1
Acropora spathulata,corymbose,-3.569858846,0
Acropora spathulata,corymbose,-1.939871607,0
Acropora spathulata,corymbose,-3.987748435,0
Acropora spathulata,corymbose,-3.271945354,0
Acropora spathulata,corymbose,-2.644704881,1
Acropora spathulata,corymbose,-5.433411238,0
Acropora spathulata,corymbose,-3.132439573,0
Acropora spathulata,corymbose,-3.770809321,0
Acropora spathulata,corymbose,-3.325042027,0
Acropora spathulata,corymbose,-2.934849107,0
Acropora spathulata,corymbose,-3.310750615,0
Acropora spathulata,corymbose,-4.310798847,0
Acropora spathulata,corymbose,-3.271870229,0
Acropora spathulata,corymbose,-2.312597305,0
Acropora spathulata,corymbose,-3.756124169,0
Acropora spathulata,corymbose,-3.332045561,0
Acropora spathulata,corymbose,-4.356642959,0
Acropora spathulata,corymbose,-3.258998453,0
Acropora spathulata,corymbose,-3.490860238,0
Acropora spathulata,corymbose,-3.791453703,0
Acropora spathulata,corymbose,-3.368347402,0
Acropora spathulata,corymbose,-3.605927143,0
Acropora spathulata,corymbose,-3.678869366,1
Acropora spathulata,corymbose,-3.183856568,0
Acropora spathulata,corymbose,-3.210778771,0
Acropora spathulata,corymbose,-3.342870995,1
Acropora spathulata,corymbose,-3.468086213,0
Acropora spathulata,corymbose,-3.447439315,0
Acropora spathulata,corymbose,-4.238348686,0
Acropora spathulata,corymbose,-1.962764121,0
Acropora spathulata,corymbose,-2.129509929,0
Acropora spathulata,corymbose,-3.466392152,0
Acropora spathulata,corymbose,-1.922194547,0
Acropora spathulata,corymbose,-3.755547355,0
Acropora spathulata,corymbose,-2.951346073,0
Acropora spathulata,corymbose,-5.190927214,0
Acropora spathulata,corymbose,-3.005386477,0
Acropora spathulata,corymbose,-3.430073603,0
Acropora spathulata,corymbose,-3.04309273,0
Acropora spathulata,corymbose,-2.830376174,0
Acropora spathulata,corymbose,-3.513377699,0
Acropora spathulata,corymbose,-5.356204515,0
Acropora spathulata,corymbose,-2.871869236,0
Acropora spathulata,corymbose,-2.386809014,0
Acropora spathulata,corymbose,-3.534909662,0
Acropora spathulata,corymbose,-3.47458254,0
Acropora spathulata,corymbose,-4.015780852,1
Acropora spathulata,corymbose,-3.42263145,1
Acropora spathulata,corymbose,-3.448830903,0
Acropora spathulata,corymbose,-3.18859339,0
Acropora spathulata,corymbose,-3.415994383,0
Acropora spathulata,corymbose,-3.41304729,0
Acropora spathulata,corymbose,-3.138051112,0
Acropora spathulata,corymbose,-2.909897547,0
Acropora spathulata,corymbose,-2.896295038,0
Acropora spathulata,corymbose,-3.483278406,0
Acropora spathulata,corymbose,-3.636531103,0
Acropora spathulata,corymbose,-1.679331875,0
Acropora spathulata,corymbose,-3.809711246,0
Acropora spathulata,corymbose,-3.431025843,1
Acropora spathulata,corymbose,-2.699806214,1
Acropora spathulata,corymbose,-3.78815173,1
Acropora spathulata,corymbose,-2.813568715,0
Acropora spathulata,corymbose,-5.423444795,1
Acropora spathulata,corymbose,-3.307904647,0
Acropora spathulata,corymbose,-3.36153399,0
Acropora spathulata,corymbose,-2.597682553,0
Acropora spathulata,corymbose,-2.344545885,0
Acropora spathulata,corymbose,-3.460057378,1
Acropora spathulata,corymbose,-6.863477636,1
Acropora spathulata,corymbose,-2.515339271,0
Acropora spathulata,corymbose,-2.441522695,0
Acropora spathulata,corymbose,-3.473729716,0
Acropora spathulata,corymbose,-3.184011055,0
Acropora spathulata,corymbose,-3.33640897,0
Acropora spathulata,corymbose,-2.849679276,0
Acropora spathulata,corymbose,-3.385836889,0
Acropora spathulata,corymbose,-3.323344307,0
Acropora spathulata,corymbose,-3.218097647,0
Acropora spathulata,corymbose,-2.5644713,0
Acropora spathulata,corymbose,-2.350300164,0
Acropora spathulata,corymbose,-3.312064788,0
Acropora spathulata,corymbose,-3.278185653,0
Acropora spathulata,corymbose,-1.444779203,0
Acropora spathulata,corymbose,-3.577783465,0
Acropora spathulata,corymbose,-2.814364174,0
Acropora spathulata,corymbose,-2.116300937,1
