species,growth_form,ln_area_cm2,mortality
Acropora cytherea,tabular,0.101927321,0
Acropora cytherea,tabular,-1.074823235,0
Acropora cytherea,tabular,-2.166671033,0
Acropora cytherea,tabular,-1.760770239,0
Acropora cytherea,tabular,-1.341903732,0
Acropora cytherea,tabular,-1.117884651,1
Acropora cytherea,tabular,-1.070323834,1
Acropora cytherea,tabular,-3.832807448,1
Acropora cytherea,tabular,-0.849793282,0
Acropora cytherea,tabular,-1.857770812,0
Acropora cytherea,tabular,-1.643809634,0
Acropora cytherea,tabular,-0.377003034,1
Acropora cytherea,tabular,-2.492743451,0
Acropora cytherea,tabular,-4.249240607,1
Acropora cytherea,tabular,-2.915102325,0
Acropora cytherea,tabular,-1.344033622,0
Acropora humilis,digitate,-3.645767988,0
Acropora humilis,digitate,-4.937859835,0
Acropora humilis,digitate,-4.097828786,0
Acropora humilis,digitate,-3.646755857,1
Acropora humilis,digitate,-3.374413274,0
Acropora humilis,digitate,-5.973748903,0
Acropora humilis,digitate,-3.038392058,1
Acropora humilis,digitate,-3.250993116,0
Acropora humilis,digitate,-3.517645016,0
Acropora humilis,digitate,-6.070635411,1
Acropora humilis,digitate,-3.012151609,0
Acropora humilis,digitate,-2.856191641,0
Acropora humilis,digitate,-3.156513806,0
Acropora humilis,digitate,-3.956063805,0
Acropora humilis,digitate,-4.551829617,0
Acropora humilis,digitate,-5.446429427,0
Acropora humilis,digitate,-3.369084585,0
Acropora humilis,digitate,-4.432399742,0
Acropora humilis,digitate,-3.844936379,0
Acropora humilis,digitate,-6.045372943,0
Acropora humilis,digitate,-3.967796913,0
Acropora humilis,digitate,-4.462527907,0
Acropora humilis,digitate,-2.593816603,0
Acropora humilis,digitate,-3.053752984,0
Acropora humilis,digitate,-4.51006906,0
Acropora humilis,digitate,-3.594060862,0
Acropora humilis,digitate,-4.403735377,0
Acropora humilis,digitate,-3.072082471,0
Acropora humilis,digitate,-4.066173261,0
Acropora humilis,digitate,-4.666723016,0
Acropora humilis,digitate,-4.176645612,0
Acropora humilis,digitate,-3.632214545,0
Acropora humilis,digitate,-5.43021269,0
Acropora humilis,digitate,-3.87552726,0
Acropora humilis,digitate,-3.046077107,0
Acropora humilis,digitate,-3.076688264,0
Acropora humilis,digitate,-2.620466194,0
